,Unnamed: 0,ratio,mean_pos_sim,mean_diff,method,reduction_rate,Unnamed: 0.1
8,0,0.812323,0.72479,0.168471,Autoencoder (192x8),24.0,0.0
8,0,0.8909745607308373,0.7266465980272981,0.2113645881870539,PCA (96x4),24.0,
8,0,0.9031107258360284,0.8068780146297218,0.1916433020528177,Whitening (768x32),24.0,
7,0,0.9036108425299236,0.7344899634024137,0.2311828685712508,Average parts (24),24.0,
7,0,0.9125129196812588,0.7311402,0.24937564,Siamese network (768x32),24.0,
9,0,0.8797386056746574,0.7219248333637673,0.2113536493037775,Whitening (128x6),21.33333333333333,
9,0,0.6786250125029174,0.99140406,0.023164392,UMAP (192x12),16.0,
7,0,0.7991175620707284,0.4354867986675134,0.1858415527898461,LocallyLinearEmbedding (64x4),16.0,
8,0,0.9046110759177142,0.71120507,0.21974507,Siamese network (128x8),16.0,
10,0,0.9049111459340512,0.725569238002139,0.2157485933378682,Whitening (128x8),16.0,
9,0,0.9099224254817844,0.97059065,0.023798823,Autoencoder,16.0,0.0
8,0,0.9226819591237956,0.7347652976525737,0.2314300586646868,Average parts (16),16.0,
9,0,0.923015370253059,0.7345146380020225,0.2193171261168949,PCA (64x4),16.0,
10,0,0.6781248958090221,0.98895395,0.0138852,UMAP (384x32),12.0,
8,0,0.7238880615261508,0.7487828005164653,0.1734925219719068,LocallyLinearEmbedding (768x64),12.0,
10,0,0.901977,0.736484,0.197509,Autoencoder (192x16),12.0,0.0
9,0,0.932650951888774,0.734687037093629,0.2315629342636712,Average parts (12),12.0,
10,0,0.9350181709065448,0.7738332811137568,0.2046134363113461,PCA (768x64),12.0,
9,0,0.9364184976494516,0.7172733,0.2469356,Siamese network (768x64),12.0,
11,0,0.9396525856033074,0.794020633975687,0.2105218387879073,Whitening (768x64),12.0,
12,0,0.9270829860300736,0.7092679907458608,0.2222203167680612,Whitening (64x6),10.666666666666666,
9,0,0.8569316944141901,0.4475477338003847,0.1773528337588222,LocallyLinearEmbedding (16x2),8.0,
11,0,0.883039375854366,0.6034121,0.17635408,UMAP (32x4),8.0,
11,0,0.9358176443130544,0.962036,0.03186351,Autoencoder,8.0,0.0
10,0,0.9432200846864268,0.7100979,0.24704456,Siamese network (768x96),8.0,
10,0,0.9445870703164072,0.7322073096979511,0.2296674660613983,Average parts (8),8.0,
13,0,0.9494882139165806,0.783814580951254,0.220806895135687,Whitening (768x96),8.0,
11,0,0.950388423965592,0.7709155782565972,0.2121873320732785,PCA (768x96),8.0,
10,0,0.7345906777212208,0.7170808166840684,0.1917820585517219,LocallyLinearEmbedding (768x128),6.0,
12,0,0.8341946454172641,0.40086073,0.13154459,UMAP (12x2),6.0,
12,0,0.944687,0.732827,0.216908,Autoencoder (96x16),6.0,0.0
11,0,0.9474210649151468,0.7206283,0.22226211,Siamese network (96x16),6.0,
14,0,0.9542893341779748,0.7709744507192682,0.2271700441266467,Whitening (768x128),6.0,
12,0,0.9584903144066949,0.7665213112972717,0.2173266204232128,PCA (768x128),6.0,
15,0,0.9505551295302236,0.7243006367352022,0.2244502112847332,Whitening (64x12),5.333333333333333,
11,0,0.8871168507857476,0.4476158859990827,0.1776765676518177,LocallyLinearEmbedding (16x4),4.0,
13,0,0.946187443736872,0.6590565,0.21009254,UMAP (16x4),4.0,
12,0,0.9560897542759976,0.72709036,0.22547078,Siamese network (128x32),4.0,
13,0,0.956323,0.726109,0.223334,Autoencoder (64x16),4.0,0.0
13,0,0.9591904777781484,0.7557165982794234,0.216335778892418,PCA (384x96),4.0,
